 😀	1f600
 😬	1f62c
 😁	1f601
 😂	1f602
 😃	1f603
 😄	1f604
 😅	1f605
 😆	1f606
 😇	1f607
 😉	1f609
 😊	1f60a
 🙂	1f642
 🙃	1f643
 ☺	263a
 😋	1f60b
 😌	1f60c
 😍	1f60d
 😘	1f618
 😗	1f617
 😙	1f619
 😚	1f61a
 😜	1f61c
 😝	1f61d
 😛	1f61b
 🤑	1f911
 🤓	1f913
 😎	1f60e
 🤗	1f917
 😏	1f60f
 😶	1f636
 😐	1f610
 😑	1f611
 😒	1f612
 🙄	1f644
 🤔	1f914
 😳	1f633
 😞	1f61e
 😟	1f61f
 😠	1f620
 😡	1f621
 😔	1f614
 😕	1f615
 🙁	1f641
 ☹	2639
 😣	1f623
 😖	1f616
 😫	1f62b
 😩	1f629
 😤	1f624
 😮	1f62e
 😱	1f631
 😨	1f628
 😰	1f630
 😯	1f62f
 😦	1f626
 😧	1f627
 😢	1f622
 😥	1f625
 😪	1f62a
 😓	1f613
 😭	1f62d
 😵	1f635
 😲	1f632
 🤐	1f910
 😷	1f637
 🤒	1f912
 🤕	1f915
 😴	1f634
 💤	1f4a4
 💩	1f4a9
 😈	1f608
 👿	1f47f
 👹	1f479
 👺	1f47a
 💀	1f480
 👻	1f47b
 👽	1f47d
 🤖	1f916
 😺	1f63a
 😸	1f638
 😹	1f639
 😻	1f63b
 😼	1f63c
 😽	1f63d
 🙀	1f640
 😿	1f63f
 😾	1f63e
 🙌	1f64c
 👏	1f44f
 👋	1f44b
 👍	1f44d
 👊	1f44a
 ✊	270a
 ✌	270c
 👌	1f44c
 ✋	270b
 💪	1f4aa
 🙏	1f64f
 ☝	261d
 👆	1f446
 👇	1f447
 👈	1f448
 👉	1f449
 🖕	1f595
 🤘	1f918
 🖖	1f596
 ✍	270d
 💅	1f485
 👄	1f444
 👅	1f445
 👂	1f442
 👃	1f443
 👁	1f441
 👀	1f440
 👤	1f464
 🗣	1f5e3
 👶	1f476
 👦	1f466
 👧	1f467
 👨	1f468
 👩	1f469
 👱	1f471
 👴	1f474
 👵	1f475
 👲	1f472
 👳	1f473
 👮	1f46e
 👷	1f477
 💂	1f482
 🕵	1f575
 🎅	1f385
 👼	1f47c
 👸	1f478
 👰	1f470
 🚶	1f6b6
 🏃	1f3c3
 💃	1f483
 👯	1f46f
 👫	1f46b
 👬	1f46c
 👭	1f46d
 🙇	1f647
 💁	1f481
 🙅	1f645
 🙆	1f646
 🙋	1f64b
 🙎	1f64e
 🙍	1f64d
 💇	1f487
 💆	1f486
 💑	1f491
 👕	1f455
 👖	1f456
 👔	1f454
 👗	1f457
 👙	1f459
 👘	1f458
 💄	1f484
 💋	1f48b
 👣	1f463
